OID_,Value,Count,bps_aoi,evt_aoi,BPS_NAME,GROUPVEG,EVT_NAME,EVT_PHYS
196,196,29.000000000000000,1603,9180,North-Central Interior Sand and Gravel Tallgrass Prairie,Grassland,North-Central Interior Freshwater Marsh,Riparian
197,197,224.000000000000000,1603,9179,North-Central Interior Sand and Gravel Tallgrass Prairie,Grassland,North-Central Interior Floodplain Forest,Riparian
198,198,178768.000000000000000,1575,7310,North-Central Interior Sand and Gravel Tallgrass Prairie,Grassland,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood
199,199,41202.000000000000000,1587,7973,Paleozoic Plateau Bluff and Talus,Hardwood-Conifer,Eastern Cool Temperate Row Crop - Close Grown Crop,Agricultural
200,200,8.000000000000000,1590,9683,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,North-Central Interior Wet Meadow,Riparian
201,201,960489.000000000000000,1587,7974,Paleozoic Plateau Bluff and Talus,Hardwood-Conifer,Eastern Cool Temperate Row Crop,Agricultural
202,202,966.000000000000000,1603,9315,North-Central Interior Sand and Gravel Tallgrass Prairie,Grassland,Northern & Central Native Ruderal Forest,Conifer-Hardwood
203,203,44480.000000000000000,1576,7311,Central Tallgrass Prairie,Grassland,North-Central Interior Dry Oak Forest and Woodland,Hardwood
204,204,320363.000000000000000,1587,7975,Paleozoic Plateau Bluff and Talus,Hardwood-Conifer,Eastern Cool Temperate Close Grown Crop,Agricultural
205,205,33.000000000000000,1587,7240,Paleozoic Plateau Bluff and Talus,Hardwood-Conifer,Laurentian-Acadian Hardwood Forest,Hardwood
206,206,405903.000000000000000,1576,7310,Central Tallgrass Prairie,Grassland,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood
207,207,4.000000000000000,1587,7366,Paleozoic Plateau Bluff and Talus,Hardwood-Conifer,Laurentian-Acadian Pine-Hemlock Forest,Conifer
208,208,5318.000000000000000,1587,7362,Paleozoic Plateau Bluff and Talus,Hardwood-Conifer,Laurentian-Acadian Northern Pine Forest,Conifer
209,209,365750.000000000000000,1570,9817,North-Central Interior Oak Savanna,Hardwood,Northern & Central Ruderal Meadow,Exotic Herbaceous
210,210,221.000000000000000,1590,7927,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,Eastern Cool Temperate Developed Mixed Forest,Developed
211,211,60354.000000000000000,1576,7296,Central Tallgrass Prairie,Grassland,Developed-Low Intensity,Developed-Low Intensity
212,212,24297.000000000000000,1570,9317,North-Central Interior Oak Savanna,Hardwood,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub
213,213,36576.000000000000000,1575,7976,North-Central Interior Sand and Gravel Tallgrass Prairie,Grassland,Eastern Cool Temperate Fallow/Idle Cropland,Agricultural
214,214,7307.000000000000000,1575,7362,North-Central Interior Sand and Gravel Tallgrass Prairie,Grassland,Laurentian-Acadian Northern Pine Forest,Conifer
215,215,35923.000000000000000,1570,7925,North-Central Interior Oak Savanna,Hardwood,Eastern Cool Temperate Developed Deciduous Forest,Developed
216,216,4920.000000000000000,1576,7925,Central Tallgrass Prairie,Grassland,Eastern Cool Temperate Developed Deciduous Forest,Developed
217,217,508172.000000000000000,1575,7974,North-Central Interior Sand and Gravel Tallgrass Prairie,Grassland,Eastern Cool Temperate Row Crop,Agricultural
218,218,2254.000000000000000,1576,7362,Central Tallgrass Prairie,Grassland,Laurentian-Acadian Northern Pine Forest,Conifer
219,219,52139.000000000000000,1576,7908,Central Tallgrass Prairie,Grassland,Eastern Cool Temperate Urban Herbaceous,Developed
220,220,25643.000000000000000,1576,7909,Central Tallgrass Prairie,Grassland,Eastern Cool Temperate Urban Shrubland,Developed
221,221,1.000000000000000,1608,9180,Boreal Acidic Peatland Systems,Riparian,North-Central Interior Freshwater Marsh,Riparian
222,222,12752.000000000000000,1576,7905,Central Tallgrass Prairie,Grassland,Eastern Cool Temperate Urban Deciduous Forest,Developed
223,223,277733.000000000000000,1576,7299,Central Tallgrass Prairie,Grassland,Developed-Roads,Developed-Roads
224,224,1.000000000000000,1608,7488,Boreal Acidic Peatland Systems,Riparian,Eastern Great Plains Wet Meadow-Prairie-Marsh,Riparian
225,225,2740.000000000000000,1576,9317,Central Tallgrass Prairie,Grassland,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub
226,226,1001118.000000000000000,1570,7299,North-Central Interior Oak Savanna,Hardwood,Developed-Roads,Developed-Roads
227,227,91684.000000000000000,1587,7976,Paleozoic Plateau Bluff and Talus,Hardwood-Conifer,Eastern Cool Temperate Fallow/Idle Cropland,Agricultural
228,228,32072.000000000000000,1576,7297,Central Tallgrass Prairie,Grassland,Developed-Medium Intensity,Developed-Medium Intensity
229,229,2822.000000000000000,1576,7239,Central Tallgrass Prairie,Grassland,Laurentian-Acadian Northern Pine-(Oak) Forest,Conifer-Hardwood
230,230,2819.000000000000000,1576,7927,Central Tallgrass Prairie,Grassland,Eastern Cool Temperate Developed Mixed Forest,Developed
231,231,460.000000000000000,1576,7928,Central Tallgrass Prairie,Grassland,Eastern Cool Temperate Developed Shrubland,Developed
232,232,18779.000000000000000,1576,7929,Central Tallgrass Prairie,Grassland,Eastern Cool Temperate Developed Herbaceous,Developed
233,233,11893.000000000000000,1576,7298,Central Tallgrass Prairie,Grassland,Developed-High Intensity,Developed-High Intensity
234,234,2449.000000000000000,1575,9317,North-Central Interior Sand and Gravel Tallgrass Prairie,Grassland,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub
235,235,4.000000000000000,1609,7906,Central Interior and Appalachian Swamp Systems,Riparian,Eastern Cool Temperate Urban Evergreen Forest,Developed
236,236,105641.000000000000000,1575,7975,North-Central Interior Sand and Gravel Tallgrass Prairie,Grassland,Eastern Cool Temperate Close Grown Crop,Agricultural
237,237,40509.000000000000000,1563,7299,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,Developed-Roads,Developed-Roads
238,238,142235.000000000000000,1566,7299,North-Central Interior Maple-Basswood Forest,Hardwood,Developed-Roads,Developed-Roads
239,239,128679.000000000000000,1563,7977,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,Eastern Cool Temperate Pasture and Hayland,Agricultural
240,240,65049.000000000000000,1563,7975,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,Eastern Cool Temperate Close Grown Crop,Agricultural
241,241,8323.000000000000000,1563,7973,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,Eastern Cool Temperate Row Crop - Close Grown Crop,Agricultural
242,242,202160.000000000000000,1563,7974,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,Eastern Cool Temperate Row Crop,Agricultural
243,243,746107.000000000000000,1566,7974,North-Central Interior Maple-Basswood Forest,Hardwood,Eastern Cool Temperate Row Crop,Agricultural
244,244,439024.000000000000000,1566,7977,North-Central Interior Maple-Basswood Forest,Hardwood,Eastern Cool Temperate Pasture and Hayland,Agricultural
245,245,17044.000000000000000,1566,7908,North-Central Interior Maple-Basswood Forest,Hardwood,Eastern Cool Temperate Urban Herbaceous,Developed
246,246,5350.000000000000000,1563,7908,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,Eastern Cool Temperate Urban Herbaceous,Developed
247,247,660350.000000000000000,1566,7310,North-Central Interior Maple-Basswood Forest,Hardwood,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood
248,248,231481.000000000000000,1566,7975,North-Central Interior Maple-Basswood Forest,Hardwood,Eastern Cool Temperate Close Grown Crop,Agricultural
249,249,20631.000000000000000,1582,7977,Central Interior and Appalachian Swamp Systems,Riparian,Eastern Cool Temperate Pasture and Hayland,Agricultural
250,250,217574.000000000000000,1570,7296,North-Central Interior Oak Savanna,Hardwood,Developed-Low Intensity,Developed-Low Intensity
251,251,222393.000000000000000,1566,7314,North-Central Interior Maple-Basswood Forest,Hardwood,North-Central Interior Maple-Basswood Forest,Hardwood
252,252,4732467.000000000000000,1570,7310,North-Central Interior Oak Savanna,Hardwood,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood
253,253,13414.000000000000000,1566,9179,North-Central Interior Maple-Basswood Forest,Hardwood,North-Central Interior Floodplain Forest,Riparian
254,254,55008.000000000000000,1566,7976,North-Central Interior Maple-Basswood Forest,Hardwood,Eastern Cool Temperate Fallow/Idle Cropland,Agricultural
255,255,11259.000000000000000,1566,7905,North-Central Interior Maple-Basswood Forest,Hardwood,Eastern Cool Temperate Urban Deciduous Forest,Developed
256,256,2293.000000000000000,1563,7297,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,Developed-Medium Intensity,Developed-Medium Intensity
257,257,10350.000000000000000,1582,7975,Central Interior and Appalachian Swamp Systems,Riparian,Eastern Cool Temperate Close Grown Crop,Agricultural
258,258,19530.000000000000000,1563,7976,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,Eastern Cool Temperate Fallow/Idle Cropland,Agricultural
259,259,149592.000000000000000,1587,7299,Paleozoic Plateau Bluff and Talus,Hardwood-Conifer,Developed-Roads,Developed-Roads
260,260,1.000000000000000,1608,7299,Boreal Acidic Peatland Systems,Riparian,Developed-Roads,Developed-Roads
261,261,108607.000000000000000,1582,7310,Central Interior and Appalachian Swamp Systems,Riparian,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood
