OID_,Value,Count,bps_aoi,evt_aoi,BPS_NAME,GROUPVEG,EVT_NAME,EVT_PHYS
101,101,8373.000000000000000,1603,7977,North-Central Interior Sand and Gravel Tallgrass Prairie,Grassland,Eastern Cool Temperate Pasture and Hayland,Agricultural
102,102,151.000000000000000,1606,7488,Central Interior and Appalachian Floodplain Systems,Riparian,Eastern Great Plains Wet Meadow-Prairie-Marsh,Riparian
103,103,339.000000000000000,1603,7973,North-Central Interior Sand and Gravel Tallgrass Prairie,Grassland,Eastern Cool Temperate Row Crop - Close Grown Crop,Agricultural
104,104,350.000000000000000,1604,7925,Northern Tallgrass Prairie,Grassland,Eastern Cool Temperate Developed Deciduous Forest,Developed
105,105,345.000000000000000,1604,7927,Northern Tallgrass Prairie,Grassland,Eastern Cool Temperate Developed Mixed Forest,Developed
106,106,1.000000000000000,1606,7978,Central Interior and Appalachian Floodplain Systems,Riparian,Eastern Cool Temperate Wheat,Agricultural
107,107,95.000000000000000,1606,7296,Central Interior and Appalachian Floodplain Systems,Riparian,Developed-Low Intensity,Developed-Low Intensity
108,108,233.000000000000000,1606,7299,Central Interior and Appalachian Floodplain Systems,Riparian,Developed-Roads,Developed-Roads
109,109,425.000000000000000,1599,7907,North-Central Interior Oak Savanna,Hardwood,Eastern Cool Temperate Urban Mixed Forest,Developed
110,110,599.000000000000000,1604,7907,Northern Tallgrass Prairie,Grassland,Eastern Cool Temperate Urban Mixed Forest,Developed
111,111,113.000000000000000,1604,7978,Northern Tallgrass Prairie,Grassland,Eastern Cool Temperate Wheat,Agricultural
112,112,587.000000000000000,1604,7311,Northern Tallgrass Prairie,Grassland,North-Central Interior Dry Oak Forest and Woodland,Hardwood
113,113,250.000000000000000,1590,7421,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,Central Tallgrass Prairie,Grassland
114,114,440.000000000000000,1590,7973,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,Eastern Cool Temperate Row Crop - Close Grown Crop,Agricultural
115,115,302.000000000000000,1590,9179,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,North-Central Interior Floodplain Forest,Riparian
116,116,905.000000000000000,1590,7905,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,Eastern Cool Temperate Urban Deciduous Forest,Developed
117,117,491.000000000000000,1590,7925,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,Eastern Cool Temperate Developed Deciduous Forest,Developed
118,118,1192.000000000000000,1590,7908,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,Eastern Cool Temperate Urban Herbaceous,Developed
119,119,5160.000000000000000,1587,7302,Paleozoic Plateau Bluff and Talus,Hardwood-Conifer,Laurentian-Acadian Northern Hardwoods Forest,Hardwood
120,120,538.000000000000000,1590,7907,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,Eastern Cool Temperate Urban Mixed Forest,Developed
121,121,9851.000000000000000,1570,7302,North-Central Interior Oak Savanna,Hardwood,Laurentian-Acadian Northern Hardwoods Forest,Hardwood
122,122,581.000000000000000,1563,7302,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,Laurentian-Acadian Northern Hardwoods Forest,Hardwood
123,123,4347.000000000000000,1575,7302,North-Central Interior Sand and Gravel Tallgrass Prairie,Grassland,Laurentian-Acadian Northern Hardwoods Forest,Hardwood
124,124,199.000000000000000,1590,7906,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,Eastern Cool Temperate Urban Evergreen Forest,Developed
125,125,6739.000000000000000,1576,7302,Central Tallgrass Prairie,Grassland,Laurentian-Acadian Northern Hardwoods Forest,Hardwood
126,126,64.000000000000000,1609,7299,Central Interior and Appalachian Swamp Systems,Riparian,Developed-Roads,Developed-Roads
127,127,246.000000000000000,1604,7906,Northern Tallgrass Prairie,Grassland,Eastern Cool Temperate Urban Evergreen Forest,Developed
128,128,147.000000000000000,1612,7299,Central Interior and Appalachian Shrub-Herbaceous Wetland Systems,Riparian,Developed-Roads,Developed-Roads
129,129,13.000000000000000,1609,7925,Central Interior and Appalachian Swamp Systems,Riparian,Eastern Cool Temperate Developed Deciduous Forest,Developed
130,130,14.000000000000000,1604,7928,Northern Tallgrass Prairie,Grassland,Eastern Cool Temperate Developed Shrubland,Developed
131,131,25.000000000000000,1612,7927,Central Interior and Appalachian Shrub-Herbaceous Wetland Systems,Riparian,Eastern Cool Temperate Developed Mixed Forest,Developed
132,132,11078.000000000000000,2725,7302,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,Laurentian-Acadian Northern Hardwoods Forest,Hardwood
133,133,32.000000000000000,1606,7925,Central Interior and Appalachian Floodplain Systems,Riparian,Eastern Cool Temperate Developed Deciduous Forest,Developed
134,134,103.000000000000000,1606,7905,Central Interior and Appalachian Floodplain Systems,Riparian,Eastern Cool Temperate Urban Deciduous Forest,Developed
135,135,329.000000000000000,1603,7976,North-Central Interior Sand and Gravel Tallgrass Prairie,Grassland,Eastern Cool Temperate Fallow/Idle Cropland,Agricultural
136,136,32.000000000000000,1604,9180,Northern Tallgrass Prairie,Grassland,North-Central Interior Freshwater Marsh,Riparian
137,137,2.000000000000000,1608,9817,Boreal Acidic Peatland Systems,Riparian,Northern & Central Ruderal Meadow,Exotic Herbaceous
138,138,451.000000000000000,1612,9180,Central Interior and Appalachian Shrub-Herbaceous Wetland Systems,Riparian,North-Central Interior Freshwater Marsh,Riparian
139,139,139.000000000000000,1606,9180,Central Interior and Appalachian Floodplain Systems,Riparian,North-Central Interior Freshwater Marsh,Riparian
140,140,24.000000000000000,1609,7421,Central Interior and Appalachian Swamp Systems,Riparian,Central Tallgrass Prairie,Grassland
